ticker,date,open,high,low,close,vol
AMZN,20170102,749.87,749.87,749.87,749.87,0
AMZN,20170103,757.92,758.76,747.7,753.67,3521000
AMZN,20170104,758.39,759.68,754.2,757.18,2510500
AMZN,20170105,761.55,782.4,760.26,780.45,5830000
AMZN,20170106,782.36,799.44,778.48,795.99,5986200
AMZN,20170109,798,801.77,791.77,796.92,3446100
AMZN,20170110,796.6,798,789.54,795.9,2558300
AMZN,20170111,793.66,799.5,789.51,799.02,2990900
AMZN,20170112,800.31,814.13,799.5,813.64,4873400
AMZN,20170113,814.32,821.65,811.4,817.14,3791400
AMZN,20170116,817.14,817.14,817.14,817.14,0
AMZN,20170117,815.7,816,803.44,809.72,3670500
AMZN,20170118,809.5,811.73,804.27,807.48,2354200
AMZN,20170119,810,813.51,807.32,809.04,2540700
AMZN,20170120,815.28,816.02,806.26,808.33,3375900
AMZN,20170123,806.8,818.5,805.08,817.88,2797100
AMZN,20170124,822,823.99,814.5,822.44,2971300
AMZN,20170125,825.79,837.42,825.29,836.52,4022700
AMZN,20170126,835.53,843.84,833,839.15,3584200
AMZN,20170127,839,839.7,829.44,835.77,2997400
AMZN,20170130,833,833.5,816.38,830.38,3746800
AMZN,20170131,823.75,826.99,819.56,823.48,3137100
AMZN,20170201,829.21,833.78,824.94,832.35,3850100
AMZN,20170202,836.59,842.49,828.26,839.95,7350400
AMZN,20170203,806.72,818.3,804,810.2,10867300
AMZN,20170206,809.8,810.72,803,807.64,3897300
AMZN,20170207,809.31,816.16,807.5,812.5,3466000
AMZN,20170208,812.69,821.48,812.5,819.71,2857900
AMZN,20170209,821.6,825,819.71,821.36,2484900
AMZN,20170210,823.82,828,822.85,827.46,2429600
AMZN,20170213,831.62,843,828.55,836.53,4172600
AMZN,20170214,837,838.31,831.45,836.39,2792400
AMZN,20170215,834,842.81,832.82,842.7,2968800
AMZN,20170216,841.84,845,839.38,844.14,2714600
AMZN,20170217,842,847.27,840.73,845.07,3112200
AMZN,20170220,845.07,845.07,845.07,845.07,0
AMZN,20170221,848.84,857.98,847.25,856.44,3507700
AMZN,20170222,856.95,858.43,852.18,855.61,2616900
AMZN,20170223,857.57,860.86,848,852.19,3461900
AMZN,20170224,844.69,845.81,837.75,845.24,3687900
AMZN,20170227,842.38,852.5,839.67,848.64,2713600
AMZN,20170228,851.45,854.09,842.05,845.04,2793700
AMZN,20170301,853.05,854.83,849.01,853.08,2760000
AMZN,20170302,853.08,854.82,847.28,848.91,2132000
